sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
113;BME280;3093;48.809;9.181;2019-02-10T11:52:39;96168.73;;;15.14;50.95
113;BME280;3093;48.809;9.181;2019-02-10T11:55:08;96179.84;;;15.14;51.11
113;BME280;3093;48.809;9.181;2019-02-10T11:57:37;96160.39;;;14.93;51.88
113;BME280;3093;48.809;9.181;2019-02-10T12:00:15;96158.41;;;15.21;51.76
113;BME280;3093;48.809;9.181;2019-02-10T12:02:41;96158.41;;;15.21;51.76
113;BME280;3093;48.809;9.181;2019-02-10T12:05:09;96134.98;;;15.22;52.16
113;BME280;3093;48.809;9.181;2019-02-10T12:07:38;96142.34;;;15.21;51.38
113;BME280;3093;48.809;9.181;2019-02-10T12:10:08;96134.20;;;15.11;52.72
113;BME280;3093;48.809;9.181;2019-02-10T12:12:37;96129.27;;;14.72;52.45
113;BME280;3093;48.809;9.181;2019-02-10T12:15:13;96118.13;;;14.48;53.60
113;BME280;3093;48.809;9.181;2019-02-10T12:17:41;96118.13;;;14.48;53.60
113;BME280;3093;48.809;9.181;2019-02-10T12:20:14;96090.81;;;14.71;53.88
113;BME280;3093;48.809;9.181;2019-02-10T12:22:42;96090.81;;;14.71;53.88
113;BME280;3093;48.809;9.181;2019-02-10T12:25:12;96121.73;;;14.80;53.70
113;BME280;3093;48.809;9.181;2019-02-10T12:27:41;96121.73;;;14.80;53.70
113;BME280;3093;48.809;9.181;2019-02-10T12:30:14;96113.20;;;14.68;54.03
113;BME280;3093;48.809;9.181;2019-02-10T12:32:42;96096.16;;;14.66;53.82
113;BME280;3093;48.809;9.181;2019-02-10T12:35:11;96094.96;;;14.53;54.86
113;BME280;3093;48.809;9.181;2019-02-10T12:37:39;96094.96;;;14.53;54.86
113;BME280;3093;48.809;9.181;2019-02-10T12:40:09;96105.27;;;14.74;55.20
113;BME280;3093;48.809;9.181;2019-02-10T12:42:38;96105.27;;;14.74;55.20
113;BME280;3093;48.809;9.181;2019-02-10T12:45:11;96117.55;;;14.66;55.39
113;BME280;3093;48.809;9.181;2019-02-10T12:47:39;96129.85;;;14.65;55.53
113;BME280;3093;48.809;9.181;2019-02-10T12:50:15;96128.55;;;14.20;57.43
113;BME280;3093;48.809;9.181;2019-02-10T12:52:40;96128.55;;;14.20;57.43
113;BME280;3093;48.809;9.181;2019-02-10T12:55:09;96139.23;;;14.11;59.34
113;BME280;3093;48.809;9.181;2019-02-10T12:57:39;96153.41;;;13.92;62.78
113;BME280;3093;48.809;9.181;2019-02-10T13:00:15;96150.65;;;13.54;63.40
113;BME280;3093;48.809;9.181;2019-02-10T13:02:43;96150.65;;;13.54;63.40
113;BME280;3093;48.809;9.181;2019-02-10T13:05:12;96168.52;;;13.67;63.18
113;BME280;3093;48.809;9.181;2019-02-10T13:07:40;96150.23;;;13.21;67.66
113;BME280;3093;48.809;9.181;2019-02-10T13:10:13;96172.06;;;12.39;75.56
113;BME280;3093;48.809;9.181;2019-02-10T13:12:43;96172.06;;;12.39;75.56
113;BME280;3093;48.809;9.181;2019-02-10T13:15:13;96184.08;;;12.04;80.62
113;BME280;3093;48.809;9.181;2019-02-10T13:17:41;96173.64;;;11.74;87.18
113;BME280;3093;48.809;9.181;2019-02-10T13:20:12;96181.70;;;11.30;90.96
113;BME280;3093;48.809;9.181;2019-02-10T13:22:40;96187.47;;;11.08;96.48
113;BME280;3093;48.809;9.181;2019-02-10T13:25:10;96175.89;;;10.86;99.86
113;BME280;3093;48.809;9.181;2019-02-10T13:27:39;96161.64;;;10.58;100.00
113;BME280;3093;48.809;9.181;2019-02-10T13:30:16;96149.30;;;10.39;100.00
113;BME280;3093;48.809;9.181;2019-02-10T13:32:45;96149.41;;;10.33;100.00
113;BME280;3093;48.809;9.181;2019-02-10T13:35:14;96137.23;;;10.24;100.00
113;BME280;3093;48.809;9.181;2019-02-10T13:37:42;96137.12;;;10.17;100.00
113;BME280;3093;48.809;9.181;2019-02-10T13:40:16;96120.81;;;10.09;100.00
113;BME280;3093;48.809;9.181;2019-02-10T13:42:44;96115.15;;;10.02;100.00
113;BME280;3093;48.809;9.181;2019-02-10T13:45:13;96112.63;;;10.03;100.00
113;BME280;3093;48.809;9.181;2019-02-10T13:47:41;96113.84;;;9.96;100.00
113;BME280;3093;48.809;9.181;2019-02-10T13:50:13;96108.22;;;9.89;100.00
113;BME280;3093;48.809;9.181;2019-02-10T13:52:42;96095.95;;;9.96;100.00
113;BME280;3093;48.809;9.181;2019-02-10T13:55:12;96110.16;;;9.98;100.00
113;BME280;3093;48.809;9.181;2019-02-10T13:57:40;96099.08;;;9.94;100.00
113;BME280;3093;48.809;9.181;2019-02-10T14:00:22;96094.69;;;9.90;100.00
113;BME280;3093;48.809;9.181;2019-02-10T14:02:51;96092.64;;;9.87;100.00
113;BME280;3093;48.809;9.181;2019-02-10T14:05:19;96090.00;;;9.81;100.00
113;BME280;3093;48.809;9.181;2019-02-10T14:07:48;96108.83;;;9.79;100.00
113;BME280;3093;48.809;9.181;2019-02-10T14:10:17;96079.06;;;9.75;100.00
113;BME280;3093;48.809;9.181;2019-02-10T14:12:47;96089.34;;;9.68;100.00
113;BME280;3093;48.809;9.181;2019-02-10T14:15:18;96085.14;;;9.74;100.00
113;BME280;3093;48.809;9.181;2019-02-10T14:17:49;96089.56;;;9.79;100.00
